id;nama;link
62;Armadimon;https://wikimon.net/images/thumb/a/a6/Armadimon2.jpg/120px-Armadimon2.jpg
63;Armagemon;https://wikimon.net/images/thumb/b/b1/Armagemon.jpg/120px-Armagemon.jpg
64;Armamon;https://wikimon.net/images/thumb/6/6c/Armamon.jpg/120px-Armamon.jpg
65;Arresterdramon;https://wikimon.net/images/thumb/b/b7/Arresterdramon2.jpg/120px-Arresterdramon2.jpg
66;Arresterdramon Superior Mode;https://wikimon.net/images/thumb/f/f2/Arresterdramon_superior_mode3.jpg/120px-Arresterdramon_superior_mode3.jpg
67;Arresterdramon Superior Mode (Brave Snatcher);https://wikimon.net/images/thumb/4/4f/Arresterdramon_superior.jpg/120px-Arresterdramon_superior.jpg
68;Assaultmon;https://wikimon.net/images/thumb/0/08/Assaultmon.jpg/120px-Assaultmon.jpg
69;Astamon;https://wikimon.net/images/thumb/2/24/Astamon.jpg/120px-Astamon.jpg
70;Asuramon;https://wikimon.net/images/thumb/2/29/Asuramon.jpg/120px-Asuramon.jpg
71;Atamadekachimon;https://wikimon.net/images/thumb/4/49/Atamadekachimon.jpg/120px-Atamadekachimon.jpg
72;Atlur Ballistamon;https://wikimon.net/images/thumb/7/72/Atlurballistamon.jpg/120px-Atlurballistamon.jpg
73;Atlur Kabuterimon (Blue);https://wikimon.net/images/thumb/5/50/Atlurkabuterimon_blue.jpg/120px-Atlurkabuterimon_blue.jpg
74;Atlur Kabuterimon (Red);https://wikimon.net/images/thumb/6/65/Atlurkabuterimon_red.jpg/120px-Atlurkabuterimon_red.jpg
75;Avenge Kidmon;https://wikimon.net/images/thumb/6/6c/Avengekidmon.jpg/120px-Avengekidmon.jpg
76;Baalmon;https://wikimon.net/images/thumb/3/3a/Baalmon2.jpg/120px-Baalmon2.jpg
77;Babamon;https://wikimon.net/images/thumb/4/46/Babamon.jpg/120px-Babamon.jpg
78;Babydmon;https://wikimon.net/images/thumb/1/17/Babydmon.jpg/120px-Babydmon.jpg
79;Bacchusmon‎;https://wikimon.net/images/thumb/b/b7/Bacchusmon.jpg/120px-Bacchusmon.jpg
80;Bacchusmon Crapulence Mode;https://wikimon.net/images/thumb/3/39/Bacchusmon_crapulence.jpg/120px-Bacchusmon_crapulence.jpg
81;Bacomon;https://wikimon.net/images/thumb/d/d5/Bacomon.jpg/120px-Bacomon.jpg
82;Bagramon;https://wikimon.net/images/thumb/5/52/Bagramon.jpg/120px-Bagramon.jpg
83;Bagramon Archangel Form;https://wikimon.net/images/thumb/a/aa/Bagramon_angel2.png/55px-Bagramon_angel2.png
84;Baihumon;https://wikimon.net/images/thumb/d/d7/Baihumon2.jpg/120px-Baihumon2.jpg
85;Bakemon;https://wikimon.net/images/thumb/5/5a/Bakemon.jpg/120px-Bakemon.jpg
86;Bakumon;https://wikimon.net/images/thumb/e/e4/Bakumon.jpg/120px-Bakumon.jpg
87;Balli Bastemon;https://wikimon.net/images/thumb/5/5e/Balibastemon.png/120px-Balibastemon.png
88;Ballistamon;https://wikimon.net/images/thumb/5/52/Ballistamon.jpg/120px-Ballistamon.jpg
89;Ballistamon MC;https://wikimon.net/images/thumb/4/46/Ballistamon_mc.jpg/120px-Ballistamon_mc.jpg
90;Ballistamon SR;https://wikimon.net/images/thumb/6/64/Ballistamon_sr.png/70px-Ballistamon_sr.png
91;Bancho Golemon;https://wikimon.net/images/thumb/f/f4/Banchogolemon.jpg/120px-Banchogolemon.jpg
92;Bancho Leomon;https://wikimon.net/images/thumb/8/8f/Bancholeomon.jpg/120px-Bancholeomon.jpg
93;Bancho Leomon Burst Mode;https://wikimon.net/images/thumb/e/e8/Bantyoliomon_Burst_Mode_DS46.jpg/120px-Bantyoliomon_Burst_Mode_DS46.jpg
94;Bancho Lilimon;https://wikimon.net/images/thumb/5/59/Bancho_lilimon.jpg/120px-Bancho_lilimon.jpg
95;Bancho Mamemon;https://wikimon.net/images/thumb/f/f3/Banchomamemon.jpg/120px-Banchomamemon.jpg
96;Bancho Stingmon;https://wikimon.net/images/thumb/5/51/Banchostingmon.jpg/120px-Banchostingmon.jpg
97;Bao Hackmon;https://wikimon.net/images/thumb/2/28/Baohuckmon.jpg/120px-Baohuckmon.jpg
98;Barbamon;https://wikimon.net/images/thumb/a/a4/Barbamon2.jpg/120px-Barbamon2.jpg
99;Baromon;https://wikimon.net/images/thumb/d/d3/Baromon.jpg/120px-Baromon.jpg
100;Bastemon;https://wikimon.net/images/thumb/1/1e/Bastemon.jpg/120px-Bastemon.jpg
101;Batterimon;https://wikimon.net/images/thumb/5/58/Batterymon.jpg/120px-Batterymon.jpg
102;Battle Armament Trailmon;https://wikimon.net/images/thumb/9/96/Battle_Armament_Trailmon.png/120px-Battle_Armament_Trailmon.png
103;Bearmon;https://wikimon.net/images/thumb/8/8f/Bearmon2.jpg/120px-Bearmon2.jpg
104;Beel Starmon;https://wikimon.net/images/thumb/7/74/Beelstarmon.jpg/120px-Beelstarmon.jpg
105;Beel Starmon X-Antibody;https://wikimon.net/images/thumb/0/04/Beelstarmonx.jpg/120px-Beelstarmonx.jpg
106;Beelzebumon;https://wikimon.net/images/thumb/e/e4/Beelzebumon2.jpg/120px-Beelzebumon2.jpg
107;Beelzebumon: Blast Mode;https://wikimon.net/images/thumb/1/1d/Beelzebumon_blast.jpg/120px-Beelzebumon_blast.jpg
108;Beelzebumon X-Antibody;https://wikimon.net/images/thumb/0/02/Beelzebumonx.jpg/120px-Beelzebumonx.jpg
109;Beelzebumon (2010 Anime Version);https://wikimon.net/images/thumb/8/83/Beelzebumon_2010.jpg/120px-Beelzebumon_2010.jpg
110;Beelzebumon + Revolmon;https://wikimon.net/images/thumb/4/41/Beelzebumon_revolmon.png/120px-Beelzebumon_revolmon.png
111;Beelzebumon + Starmons;https://wikimon.net/images/thumb/0/02/Beelzebumon_starmons.jpg/120px-Beelzebumon_starmons.jpg
112;Belial Vamdemon;https://wikimon.net/images/thumb/c/ca/Belialvamdemon2.jpg/120px-Belialvamdemon2.jpg
113;Belphemon: Rage Mode;https://wikimon.net/images/thumb/9/93/Belphemon_rage.jpg/120px-Belphemon_rage.jpg
114;Belphemon: Sleep Mode;https://wikimon.net/images/thumb/d/da/Belphemon_sleep2.jpg/120px-Belphemon_sleep2.jpg
115;Bemmon;https://wikimon.net/images/thumb/7/72/Bemmon2.png/120px-Bemmon2.png
116;Beowolfmon;https://wikimon.net/images/thumb/9/9b/Beowolfmon.jpg/120px-Beowolfmon.jpg
117;Betamon;https://wikimon.net/images/thumb/7/77/Betamon.jpg/120px-Betamon.jpg
118;Betamon X-Antibody;https://wikimon.net/images/thumb/7/73/Betamonx.jpg/120px-Betamonx.jpg
119;Betsumon;https://wikimon.net/images/thumb/6/66/Betsumon3.jpg/120px-Betsumon3.jpg
120;Big Mamemon;https://wikimon.net/images/thumb/6/66/Bigmamemon.jpg/120px-Bigmamemon.jpg
121;Bio Coatlmon;https://wikimon.net/images/thumb/2/22/Biocoatlmon.gif/120px-Biocoatlmon.gif
122;Bio Darkdramon;https://wikimon.net/images/thumb/4/48/Bio_Darkdramon.png/120px-Bio_Darkdramon.png
123;Bio Lotusmon;https://wikimon.net/images/thumb/e/e3/BioLotusmon.png/120px-BioLotusmon.png
124;Bio Spinomon;https://wikimon.net/images/thumb/1/1a/Bio_Spinomon.jpg/120px-Bio_Spinomon.jpg
125;Bio Stegomon;https://wikimon.net/images/thumb/3/39/Biostegomon.png/120px-Biostegomon.png
126;Bio Thunderbirmon;https://wikimon.net/images/thumb/1/1e/Biothunderbirmon.png/90px-Biothunderbirmon.png
127;Birdramon;https://wikimon.net/images/thumb/0/06/Birdramon.jpg/120px-Birdramon.jpg
128;Bishop Chessmon (Black);https://wikimon.net/images/thumb/7/7b/BishopChessmon_Black.png/60px-BishopChessmon_Black.png
129;Bishop Chessmon (White);https://wikimon.net/images/thumb/b/b5/Bishopchessmon_white.jpg/120px-Bishopchessmon_white.jpg
130;Bitmon;https://wikimon.net/images/thumb/b/bd/Bitmon.jpg/120px-Bitmon.jpg
131;Black Galgomon;https://wikimon.net/images/thumb/1/15/Blackgalgomon.jpg/120px-Blackgalgomon.jpg
132;Black Gaogamon;https://wikimon.net/images/thumb/1/16/Black_gaogamon.jpg/120px-Black_gaogamon.jpg
133;Black Growmon;https://wikimon.net/images/thumb/3/35/Blackgrowmon.jpg/120px-Blackgrowmon.jpg
134;Black Guilmon;https://wikimon.net/images/thumb/f/fc/Blackguilmon_char_selection_dbc.png/120px-Blackguilmon_char_selection_dbc.png
135;Black King Numemon;https://wikimon.net/images/thumb/5/5b/Blackkingnumemon.jpg/120px-Blackkingnumemon.jpg
136;Black Mach Gaogamon;https://wikimon.net/images/thumb/4/4a/Blackmachgaogamon.jpg/120px-Blackmachgaogamon.jpg
137;Black Megalo Growmon;https://wikimon.net/images/thumb/b/b4/Blackmegalogrowmon.jpg/120px-Blackmegalogrowmon.jpg
138;Black Rapidmon;https://wikimon.net/images/thumb/b/b2/Blackrapidmon.jpg/120px-Blackrapidmon.jpg
139;Black Saint Galgomon;https://wikimon.net/images/thumb/e/eb/Blacksaintgalgomon.jpg/120px-Blacksaintgalgomon.jpg
140;Black Seraphimon;https://wikimon.net/images/thumb/3/34/Blackseraphimon.gif/105px-Blackseraphimon.gif
141;Black Seraphimon (DW3);https://wikimon.net/images/thumb/0/04/Blackseraphimon_dw3.png/87px-Blackseraphimon_dw3.png
142;Black Shoutmon X7;https://wikimon.net/images/thumb/6/6d/Black_Shoutmon_X7.png/120px-Black_Shoutmon_X7.png
143;Black Tailmon;https://wikimon.net/images/thumb/d/db/Blacktailmon.jpg/120px-Blacktailmon.jpg
144;Black War Greymon;https://wikimon.net/images/thumb/a/a2/Blackwargreymon.jpg/120px-Blackwargreymon.jpg
145;Black War Greymon X-Antibody;https://wikimon.net/images/thumb/0/06/Blackwargreymonx.jpg/120px-Blackwargreymonx.jpg
146;Blade Kuwagamon;https://wikimon.net/images/thumb/7/74/Bladekuwagamon.jpg/120px-Bladekuwagamon.jpg
147;Blastmon;https://wikimon.net/images/thumb/e/e7/Blastmon2.jpg/120px-Blastmon2.jpg
148;Blikmon;https://wikimon.net/images/thumb/5/58/Blikmon.jpg/120px-Blikmon.jpg
149;Blimpmon;https://wikimon.net/images/thumb/e/e0/Blimpmon.jpg/120px-Blimpmon.jpg
150;Blitz Greymon;https://wikimon.net/images/thumb/2/2d/Blitzgreymon.jpg/120px-Blitzgreymon.jpg
151;Blitzmon;https://wikimon.net/images/thumb/a/a4/Blitzmon2.jpg/120px-Blitzmon2.jpg
152;Blizzarmon;https://wikimon.net/images/thumb/d/d3/Blizzarmon2.jpg/120px-Blizzarmon2.jpg
153;Blossomon;https://wikimon.net/images/thumb/8/8a/Blossomon.jpg/120px-Blossomon.jpg
154;Blucomon;https://wikimon.net/images/thumb/4/40/Blucomon.jpg/120px-Blucomon.jpg
155;Blue Meramon;https://wikimon.net/images/thumb/e/e8/Bluemeramon.jpg/120px-Bluemeramon.jpg
156;Boarmon;https://wikimon.net/images/thumb/5/5d/Boarmon.jpg/120px-Boarmon.jpg
157;Bokomon;https://wikimon.net/images/thumb/7/7e/Bokomon.jpg/120px-Bokomon.jpg
158;Bolgmon;https://wikimon.net/images/thumb/b/b9/Bolgmon.jpg/120px-Bolgmon.jpg
159;Boltmon;https://wikimon.net/images/thumb/0/0f/Boltmon.jpg/120px-Boltmon.jpg
160;Bomber Nanimon;https://wikimon.net/images/thumb/4/49/Bombernanimon.jpg/120px-Bombernanimon.jpg
161;Bombmon;https://wikimon.net/images/thumb/3/30/Bommon_2010_2.jpg/120px-Bommon_2010_2.jpg
162;Bommon;https://wikimon.net/images/thumb/2/2e/Bommon.jpg/120px-Bommon.jpg
163;Boogiemon;https://wikimon.net/images/thumb/e/ed/Boogiemon.jpg/120px-Boogiemon.jpg
164;Botamon;https://wikimon.net/images/thumb/e/ed/Botamon.jpg/120px-Botamon.jpg
165;Brachimon;https://wikimon.net/images/thumb/d/d8/Brachimon.jpg/120px-Brachimon.jpg
166;Breakdramon;https://wikimon.net/images/thumb/7/7c/Breakdramon.jpg/120px-Breakdramon.jpg
167;Bryweludramon;https://wikimon.net/images/thumb/e/e5/Bryweludramon.jpg/120px-Bryweludramon.jpg
168;Bubbmon;https://wikimon.net/images/thumb/1/1f/Bubbmon.jpg/120px-Bubbmon.jpg
169;Budmon;https://wikimon.net/images/thumb/f/f9/Budmon.jpg/120px-Budmon.jpg
170;Bullmon;https://wikimon.net/images/thumb/2/2f/Bullmon.jpg/120px-Bullmon.jpg
171;Bun;https://wikimon.net/images/thumb/e/ea/Bun.png/95px-Bun.png
172;Buraimon;https://wikimon.net/images/thumb/a/a2/Buraimon.jpg/120px-Buraimon.jpg
173;Burgamon;https://wikimon.net/images/thumb/2/20/Burgemon2.jpg/120px-Burgemon2.jpg
174;Burgamon Adult;https://wikimon.net/images/thumb/e/e9/Burgemon_adult.jpg/120px-Burgemon_adult.jpg
175;Burpmon;https://wikimon.net/images/thumb/b/bf/Burpmon.jpg/120px-Burpmon.jpg
176;Bushi Agumon;https://wikimon.net/images/thumb/8/83/BushiAgumon.jpg/120px-BushiAgumon.jpg
177;Butenmon;https://wikimon.net/images/thumb/4/44/Butenmon.jpg/120px-Butenmon.jpg
178;Butterflamon;https://wikimon.net/images/thumb/c/cc/Butterflamon.jpg/120px-Butterflamon.jpg
179;Būmon;https://wikimon.net/images/2/2e/Buumon.png
180;Calamaramon;https://wikimon.net/images/thumb/f/f6/Calamaramon.jpg/120px-Calamaramon.jpg
181;Callismon;https://wikimon.net/images/thumb/a/a1/Callismon.jpg/120px-Callismon.jpg
182;Candmon;https://wikimon.net/images/thumb/5/59/Candmon.jpg/120px-Candmon.jpg
183;Cannonbeemon;https://wikimon.net/images/thumb/a/a1/Cannonbeemon.jpg/120px-Cannonbeemon.jpg
184;Cannonbeemon (Aircraft Carrier);https://wikimon.net/images/thumb/9/91/Cannonbeemon_aircraft_carrier.jpg/120px-Cannonbeemon_aircraft_carrier.jpg
185;Cannondramon;https://wikimon.net/images/thumb/7/7a/Cannondramon.jpg/120px-Cannondramon.jpg
186;Caprimon;https://wikimon.net/images/thumb/3/35/Caprimon.jpg/120px-Caprimon.jpg
187;Captain Hookmon;https://wikimon.net/images/thumb/9/94/Captainhookmon.jpg/120px-Captainhookmon.jpg
188;Cardmon C1;https://wikimon.net/images/thumb/2/24/Cardmon_c1.png/120px-Cardmon_c1.png
189;Cardmon C2;https://wikimon.net/images/thumb/f/fb/Cardmon_c2.png/120px-Cardmon_c2.png
190;Cardmon R1;https://wikimon.net/images/thumb/0/04/Cardmon_R1.png/119px-Cardmon_R1.png
191;Cardmon R2;https://wikimon.net/images/thumb/1/1a/Cardmon_R2.png/120px-Cardmon_R2.png
192;Cardmon S1;https://wikimon.net/images/thumb/7/7d/Cardmon_S1.png/110px-Cardmon_S1.png
193;Cardmon S2;https://wikimon.net/images/thumb/4/43/Cardmon_S2.png/117px-Cardmon_S2.png
194;Cardmon U1;https://wikimon.net/images/thumb/c/c5/Cardmon_U1.png/120px-Cardmon_U1.png
195;Cardmon U2;https://wikimon.net/images/thumb/c/c9/Cardmon_u2.png/120px-Cardmon_u2.png
196;Catch Mamemon;https://wikimon.net/images/thumb/f/f2/Catchmamemon.jpg/120px-Catchmamemon.jpg
197;Caturamon;https://wikimon.net/images/thumb/4/45/Caturamon.jpg/120px-Caturamon.jpg
198;Centalmon;https://wikimon.net/images/thumb/3/32/Centalmon.jpg/120px-Centalmon.jpg
199;Cerberumon;https://wikimon.net/images/thumb/d/da/Cerberumon.jpg/120px-Cerberumon.jpg
200;Cerberumon X-Antibody;https://wikimon.net/images/thumb/0/0d/Cerberumonx.jpg/120px-Cerberumonx.jpg
201;Cerberumon: Werewolf Mode;https://wikimon.net/images/thumb/f/fa/Cerberumon_jinrou.jpg/120px-Cerberumon_jinrou.jpg
202;Ceresmon;https://wikimon.net/images/thumb/c/c9/Ceresmon.jpg/120px-Ceresmon.jpg
203;Ceresmon Medium;https://wikimon.net/images/thumb/5/55/Ceresmon_medium.jpg/120px-Ceresmon_medium.jpg
204;Chackmon;https://wikimon.net/images/thumb/a/ac/Chackmon.jpg/120px-Chackmon.jpg
205;Chamelemon;https://wikimon.net/images/thumb/c/c9/Chamelemon.jpg/120px-Chamelemon.jpg
206;Chaos Dukemon;https://wikimon.net/images/thumb/c/c7/Chaosdukemon5.jpg/120px-Chaosdukemon5.jpg
207;Chaos Dukemon Core;https://wikimon.net/images/thumb/3/3d/Chaosdukemon_core.jpg/120px-Chaosdukemon_core.jpg
208;Chaos Greymon;https://wikimon.net/images/thumb/e/e7/Chaosgreymon_recolor.jpg/120px-Chaosgreymon_recolor.jpg
209;Chaos Grimmon;https://wikimon.net/images/thumb/d/dd/ChaosGrimmon.jpg/120px-ChaosGrimmon.jpg
210;Chaos Lord;https://wikimon.net/images/thumb/c/c1/Chaos_Lord.png/120px-Chaos_Lord.png
211;Chaos Piemon;https://wikimon.net/images/thumb/7/70/Chaospiemon_recolor.jpg/120px-Chaospiemon_recolor.jpg
212;Chaos Seadramon;https://wikimon.net/images/thumb/6/60/Chaosseadramon_recolor.jpg/120px-Chaosseadramon_recolor.jpg
213;Chaosdramon;https://wikimon.net/images/thumb/0/07/Chaosdramon.jpg/120px-Chaosdramon.jpg
214;Chaosdramon X-Antibody;https://wikimon.net/images/thumb/9/9c/Chaosdramonx.jpg/120px-Chaosdramonx.jpg
215;Chaosmon;https://wikimon.net/images/thumb/9/93/Chaosmon.jpg/120px-Chaosmon.jpg
216;Chaosmon: Valdur Arm;https://wikimon.net/images/thumb/a/a3/Chaosmon_valdurarm.jpg/120px-Chaosmon_valdurarm.jpg
217;Chapmon;https://wikimon.net/images/thumb/1/1c/Chapmon.jpg/120px-Chapmon.jpg
218;Cherubimon (Vice);https://wikimon.net/images/thumb/1/1c/Cherubimon-vice.jpg/120px-Cherubimon-vice.jpg
219;Cherubimon (Virtue);https://wikimon.net/images/thumb/4/46/Cherubimon.jpg/120px-Cherubimon.jpg
220;Chibickmon;https://wikimon.net/images/thumb/3/38/Chibickmon.jpg/120px-Chibickmon.jpg
221;Chibick Sword;https://wikimon.net/images/thumb/3/3c/Chibick_sword.jpg/120px-Chibick_sword.jpg
222;Chibi Kamemon;https://wikimon.net/images/thumb/3/30/Chibikamemon.jpg/120px-Chibikamemon.jpg
223;Chibi Kiwimon;https://wikimon.net/images/c/c2/ChibiKiwimon_t.jpg
224;Chibimon;https://wikimon.net/images/thumb/2/27/Chibimon.jpg/120px-Chibimon.jpg
225;Chicchimon;https://wikimon.net/images/thumb/7/7f/Chicchimon.jpg/120px-Chicchimon.jpg
226;Chicomon;https://wikimon.net/images/thumb/d/df/Chicomon.jpg/120px-Chicomon.jpg
227;Chikurimon;https://wikimon.net/images/thumb/7/78/Chikurimon.jpg/120px-Chikurimon.jpg
228;Chimairamon;https://wikimon.net/images/thumb/1/1e/Chimairamon.jpg/120px-Chimairamon.jpg
229;Cho·Hakkaimon;https://wikimon.net/images/thumb/5/52/Chohakkaimon.jpg/120px-Chohakkaimon.jpg
230;Chocomon;https://wikimon.net/images/thumb/3/3a/Chocomon.jpg/120px-Chocomon.jpg
231;Chokimon;https://wikimon.net/images/thumb/8/88/Chokimon.png/120px-Chokimon.png
232;Choromon;https://wikimon.net/images/thumb/b/bf/Choromon.jpg/120px-Choromon.jpg
233;Chronomon Destroy Mode;https://wikimon.net/images/thumb/6/69/Chronomon_destroymode.jpg/120px-Chronomon_destroymode.jpg
234;Chronomon Holy Mode;https://wikimon.net/images/thumb/6/6b/Chronomon_Holymode.jpg/120px-Chronomon_Holymode.jpg
235;Chrysalimon;https://wikimon.net/images/thumb/c/c5/Chrysalimon.jpg/120px-Chrysalimon.jpg
236;Citramon;https://wikimon.net/images/thumb/3/34/Citramon.png/120px-Citramon.png
237;Clavis Angemon;https://wikimon.net/images/thumb/0/03/Clavisangemon.jpg/120px-Clavisangemon.jpg
238;Clear Agumon;https://wikimon.net/images/thumb/d/db/Clearagumon.jpg/120px-Clearagumon.jpg
239;Clockmon;https://wikimon.net/images/thumb/8/8c/Clockmon.jpg/120px-Clockmon.jpg
240;Coatlmon;https://wikimon.net/images/thumb/0/04/Coatlmon.jpg/120px-Coatlmon.jpg
241;Cockatrimon;https://wikimon.net/images/thumb/d/d0/Cockatrimon.jpg/120px-Cockatrimon.jpg
242;Cocomon;https://wikimon.net/images/thumb/2/20/Cocomon2.jpg/120px-Cocomon2.jpg
243;Coelamon;https://wikimon.net/images/thumb/c/c7/Coelamon.jpg/120px-Coelamon.jpg
